MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59266,Arsenal,Brighton,2,0,53.9,46.1,5.0,1.0,16.0,5.0,727.0,645.0,565.0,489.0,14.0,17.0,10.0,18.0,11.0,3.0,2.0,1.0,0.0,0.0,10.0,8.0,0.0,0.0
59267,Aston Villa,Chelsea,2,1,28.8,71.2,3.0,7.0,6.0,23.0,431.0,797.0,250.0,598.0,14.0,18.0,36.0,6.0,2.0,9.0,0.0,2.0,3.0,4.0,11.0,12.0,0.0,1.0
59268,Fulham,Newcastle,0,2,64.3,35.7,0.0,4.0,14.0,10.0,778.0,517.0,596.0,333.0,18.0,13.0,13.0,30.0,5.0,4.0,1.0,0.0,1.0,0.0,12.0,6.0,0.0,0.0
59269,Leeds,West Brom,3,1,64.4,35.6,9.0,5.0,17.0,14.0,685.0,465.0,499.0,268.0,21.0,19.0,11.0,17.0,8.0,3.0,3.0,3.0,2.0,1.0,12.0,12.0,0.0,0.0
59270,Leicester,Spurs,2,4,47.0,53.0,6.0,4.0,10.0,11.0,651.0,710.0,444.0,492.0,28.0,18.0,14.0,13.0,8.0,7.0,3.0,1.0,0.0,2.0,9.0,8.0,0.0,0.0
59271,Liverpool,Crystal Palace,2,0,69.6,30.4,5.0,4.0,19.0,5.0,780.0,427.0,588.0,263.0,15.0,24.0,5.0,21.0,14.0,1.0,2.0,1.0,2.0,2.0,10.0,8.0,0.0,0.0
59272,Man City,Everton,5,0,67.7,32.3,11.0,3.0,21.0,8.0,893.0,489.0,725.0,340.0,10.0,12.0,10.0,18.0,7.0,5.0,1.0,1.0,2.0,2.0,8.0,10.0,0.0,0.0
59273,Sheffield Utd,Burnley,1,0,43.0,57.0,3.0,3.0,12.0,10.0,552.0,664.0,361.0,482.0,19.0,16.0,29.0,19.0,8.0,9.0,2.0,1.0,3.0,1.0,11.0,1.0,0.0,0.0
59274,West Ham,Southampton,3,0,36.9,63.1,7.0,5.0,14.0,17.0,483.0,715.0,300.0,534.0,12.0,23.0,12.0,11.0,2.0,3.0,5.0,2.0,0.0,3.0,5.0,9.0,0.0,0.0
59275,Wolves,Man Utd,1,2,57.2,42.8,4.0,4.0,14.0,9.0,744.0,634.0,571.0,440.0,19.0,14.0,7.0,26.0,6.0,2.0,1.0,1.0,4.0,1.0,14.0,3.0,0.0,0.0
59260,Everton,Wolves,1,0,41.0,59.0,4.0,3.0,14.0,9.0,580.0,750.0,377.0,528.0,21.0,12.0,33.0,10.0,7.0,12.0,0.0,0.0,0.0,2.0,11.0,11.0,0.0,0.0
59262,Newcastle,Sheffield Utd,1,0,50.9,49.1,5.0,1.0,16.0,11.0,678.0,622.0,487.0,462.0,8.0,17.0,20.0,15.0,5.0,2.0,2.0,4.0,0.0,2.0,7.0,7.0,0.0,0.0
59264,Spurs,Aston Villa,1,2,60.8,39.2,4.0,4.0,10.0,20.0,759.0,570.0,569.0,367.0,21.0,18.0,14.0,15.0,4.0,5.0,2.0,3.0,1.0,1.0,14.0,13.0,0.0,0.0
59259,Crystal Palace,Arsenal,1,3,31.3,68.7,6.0,3.0,12.0,6.0,455.0,791.0,258.0,603.0,20.0,8.0,23.0,18.0,6.0,7.0,3.0,2.0,2.0,1.0,7.0,7.0,0.0,0.0
59257,Burnley,Liverpool,0,3,41.2,58.8,4.0,3.0,10.0,20.0,560.0,777.0,389.0,584.0,14.0,15.0,14.0,41.0,6.0,7.0,1.0,1.0,0.0,0.0,10.0,7.0,0.0,0.0
59265,West Brom,West Ham,1,3,52.5,47.5,4.0,9.0,14.0,21.0,558.0,530.0,357.0,326.0,10.0,16.0,21.0,34.0,6.0,8.0,2.0,1.0,2.0,2.0,8.0,11.0,0.0,0.0
59261,Man Utd,Fulham,1,1,57.1,42.9,6.0,5.0,13.0,8.0,721.0,599.0,544.0,410.0,13.0,25.0,9.0,20.0,6.0,1.0,4.0,1.0,2.0,3.0,10.0,15.0,0.0,0.0
59263,Southampton,Leeds,0,2,51.3,48.7,3.0,7.0,18.0,15.0,620.0,588.0,392.0,375.0,23.0,35.0,13.0,14.0,4.0,4.0,2.0,1.0,0.0,3.0,10.0,12.0,0.0,0.0
59256,Brighton,Man City,3,2,62.7,37.3,6.0,4.0,19.0,8.0,782.0,532.0,607.0,361.0,18.0,15.0,10.0,25.0,5.0,3.0,3.0,1.0,3.0,3.0,13.0,11.0,0.0,1.0
59258,Chelsea,Leicester,2,1,58.6,41.4,6.0,3.0,17.0,7.0,760.0,568.0,549.0,381.0,19.0,23.0,18.0,15.0,6.0,5.0,1.0,0.0,2.0,5.0,15.0,16.0,0.0,0.0
59250,West Brom,Liverpool,1,2,23.7,76.3,3.0,6.0,9.0,26.0,399.0,886.0,200.0,699.0,16.0,8.0,32.0,17.0,9.0,13.0,3.0,2.0,0.0,0.0,7.0,14.0,0.0,0.0
59248,Everton,Sheffield Utd,0,1,62.4,37.6,6.0,3.0,16.0,10.0,824.0,573.0,635.0,385.0,21.0,14.0,15.0,26.0,11.0,4.0,0.0,3.0,1.0,3.0,8.0,12.0,0.0,0.0
59246,Brighton,West Ham,1,1,51.1,48.9,2.0,3.0,10.0,15.0,732.0,713.0,595.0,552.0,9.0,6.0,18.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,7.0,5.0,0.0,0.0
59252,Crystal Palace,Aston Villa,3,2,45.5,54.5,8.0,5.0,23.0,19.0,533.0,625.0,325.0,393.0,15.0,13.0,22.0,30.0,7.0,7.0,2.0,2.0,3.0,2.0,23.0,13.0,0.0,0.0
59255,Spurs,Wolves,2,0,61.9,38.1,13.0,3.0,24.0,15.0,765.0,547.0,584.0,360.0,11.0,20.0,6.0,23.0,10.0,3.0,2.0,3.0,1.0,0.0,8.0,11.0,0.0,0.0
59253,Newcastle,Man City,3,4,17.9,82.1,5.0,6.0,11.0,15.0,353.0,1093.0,195.0,925.0,13.0,21.0,21.0,13.0,4.0,5.0,1.0,0.0,2.0,2.0,11.0,10.0,0.0,0.0
59247,Burnley,Leeds,0,4,48.2,51.8,4.0,6.0,16.0,16.0,586.0,611.0,418.0,440.0,12.0,11.0,20.0,23.0,6.0,8.0,2.0,6.0,1.0,1.0,10.0,10.0,0.0,0.0
59254,Southampton,Fulham,3,1,46.2,53.8,7.0,3.0,11.0,10.0,673.0,740.0,470.0,547.0,19.0,23.0,14.0,14.0,6.0,5.0,3.0,1.0,0.0,1.0,9.0,15.0,0.0,0.0
59077,Aston Villa,Everton,0,0,58.0,42.0,2.0,5.0,13.0,15.0,671.0,514.0,502.0,362.0,7.0,9.0,16.0,17.0,9.0,1.0,0.0,2.0,2.0,1.0,9.0,12.0,0.0,0.0
59231,Man Utd,Liverpool,2,4,53.3,46.7,3.0,8.0,18.0,17.0,714.0,656.0,511.0,454.0,22.0,16.0,12.0,18.0,6.0,4.0,1.0,1.0,3.0,0.0,10.0,12.0,0.0,0.0
59251,Chelsea,Arsenal,0,1,67.7,32.3,5.0,2.0,19.0,5.0,938.0,532.0,765.0,369.0,4.0,14.0,5.0,37.0,9.0,1.0,4.0,2.0,0.0,1.0,7.0,6.0,0.0,0.0
59249,Man Utd,Leicester,1,2,53.1,46.9,1.0,3.0,4.0,12.0,728.0,650.0,561.0,491.0,12.0,17.0,14.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0
59214,Southampton,Crystal Palace,3,1,62.7,37.3,6.0,4.0,13.0,11.0,716.0,501.0,531.0,311.0,13.0,17.0,22.0,17.0,12.0,8.0,1.0,2.0,2.0,3.0,20.0,13.0,0.0,0.0
59238,Fulham,Burnley,0,2,68.0,32.0,3.0,5.0,21.0,14.0,755.0,462.0,521.0,253.0,16.0,17.0,13.0,42.0,8.0,4.0,4.0,1.0,2.0,0.0,11.0,10.0,0.0,0.0
59244,West Ham,Everton,0,1,68.6,31.4,0.0,3.0,11.0,9.0,809.0,471.0,606.0,278.0,16.0,24.0,11.0,34.0,5.0,6.0,2.0,2.0,2.0,1.0,8.0,10.0,0.0,0.0
59236,Arsenal,West Brom,3,1,65.7,34.3,7.0,1.0,15.0,12.0,747.0,455.0,576.0,288.0,11.0,14.0,25.0,12.0,6.0,6.0,1.0,2.0,1.0,2.0,7.0,9.0,0.0,0.0
59242,Man City,Chelsea,1,2,48.3,51.7,4.0,5.0,16.0,12.0,711.0,738.0,537.0,580.0,18.0,15.0,11.0,11.0,6.0,2.0,1.0,5.0,2.0,0.0,12.0,10.0,0.0,0.0
59241,Liverpool,Southampton,2,0,54.1,45.9,6.0,6.0,14.0,12.0,757.0,663.0,557.0,480.0,15.0,18.0,15.0,18.0,8.0,4.0,4.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0
59245,Wolves,Brighton,2,1,60.7,39.3,6.0,3.0,16.0,5.0,752.0,567.0,569.0,373.0,14.0,15.0,12.0,27.0,10.0,5.0,0.0,2.0,2.0,2.0,12.0,7.0,0.0,2.0
59237,Aston Villa,Man Utd,1,3,41.1,58.9,5.0,7.0,11.0,18.0,560.0,738.0,383.0,563.0,14.0,10.0,20.0,19.0,5.0,6.0,0.0,0.0,1.0,1.0,13.0,18.0,1.0,0.0
59240,Leicester,Newcastle,2,4,68.3,31.7,9.0,6.0,25.0,14.0,799.0,469.0,596.0,274.0,13.0,9.0,14.0,38.0,9.0,6.0,2.0,1.0,1.0,1.0,12.0,9.0,0.0,0.0
59239,Leeds,Spurs,3,1,53.3,46.7,7.0,3.0,16.0,11.0,656.0,606.0,442.0,395.0,20.0,15.0,21.0,17.0,8.0,6.0,1.0,2.0,1.0,2.0,12.0,10.0,0.0,0.0
59243,Sheffield Utd,Crystal Palace,0,2,49.8,50.2,0.0,8.0,7.0,21.0,618.0,623.0,412.0,423.0,22.0,21.0,18.0,11.0,5.0,11.0,2.0,1.0,1.0,1.0,11.0,8.0,0.0,0.0
